Биграмма,Частота
"('погрузчик', 'вагон')",1
"('дом', 'прицеп')",1
"('зерновоз', 'прицеп')",1
"('прицеп', 'опрыскиватель')",1
"('опрыскиватель', 'прицеп')",1
"('прицеп', 'рециклер')",1
"('рециклер', 'прицеп')",1
"('прицеп', 'смешиватель')",1
"('смешиватель', 'компрессор')",1
"('компрессор', 'вилочный')",1
"('автопогрузчик', 'укладчик')",1
"('укладчик', 'обочина')",1
"('обочина', 'установка')",1
"('установка', 'гнб')",1
"('гнб', 'прицеп')",1
"('самосвал', 'агрегат')",1
"('скважина', 'дробильный')",1
"('установка', 'жилой')",1
"('жилой', 'модуль')",1
"('модуль', 'ломовоз')",1
"('кму', 'мобильный')",1
"('мобильный', 'бетонный')",1
"('бетонный', 'завод')",1
"('завод', 'очиститель')",1
"('очиститель', 'подборщик')",1
"('подборщик', 'перегружатель')",1
"('перегружатель', 'асфальт')",1
"('асфальт', 'полуприцеп')",1
"('полуприцеп', 'муковоз')",1
"('муковоз', 'прицеп')",1
"('измельчитель', 'прицеп')",1
"('пескоразбрасыватель', 'самосвал')",1
"('самосвал', 'карьерный')",1
"('карьерный', 'прицеп')",1
"('прицеп', 'парогенератор')",1
"('парогенератор', 'мини')",1
"('экскаватор', 'сварочный')",1
"('сварочный', 'агрегат')",1
"('агрегат', 'смеситель')",1
"('кормораздатчик', 'снегоочиститель')",1
"('снегоочиститель', 'установка')",1
"('смесительный', 'экскаватор')",1
"('перегружатель', 'экскаватор')",1
"('планировщик', 'прицеп')",1
"('прицеп', 'скотовоз')",1
"('скотовоз', 'укладчик')",1
"('укладчик', 'плитка')",1
"('плитка', 'сортировочный')",1
"('установка', 'мульчер')",1
"('мульчер', 'валочный')",1
"('пакетировать', 'прицеп')",1
"('прицеп', 'рулоновоз')",1
"('рулоновоз', 'полуприцеп')",1
"('полуприцеп', 'шторный')",1
"('прицеп', 'мультилифт')",1
"('мультилифт', 'полуприцеп')",1
"('установка', 'бетоносмеситель')",1
"('бетоносмеситель', 'прицеп')",1
"('бортовой', 'лущильник')",1
"('лущильник', 'машина')",1
"('вакуумный', 'снегоочиститель')",1
"('снегоочиститель', 'автобус')",1
"('инвалид', 'зерновоз')",1
"('зерновоз', 'специальный')",1
"('специальный', 'газоспасательный')",1
"('газоспасательный', 'европлатформа')",1
"('европлатформа', 'машина')",1
"('илососный', 'маслостанция')",1
"('маслостанция', 'кму')",1
"('кму', 'комбинированный')",1
"('комбинированный', 'автомобиль')",1
"('автомобиль', 'трактор')",1
"('трактор', 'трелеровочный')",1
"('трелеровочный', 'скиддер')",1
"('скиддер', 'скиддер')",1
"('скиддер', 'прицеп')",1
"('прицеп', 'пневмонагнетатель')",1
"('пневмонагнетатель', 'багажный')",1
"('багажный', 'тягач')",1
"('тягач', 'бункер')",1
"('перегрузчик', 'фургон')",1
"('груз', 'сортиментовоз')",1
"('гму', 'буровой')",1
"('станок', 'колтюбинговый')",1
"('колтюбинговый', 'установка')",1
"('установка', 'грабли')",1
"('грабли', 'подъемник')",1
"('каротажный', 'ричстакер')",1
"('ричстакер', 'автоцистерна')",1
"('вакуумный', 'портальный')",1
"('прицеп', 'плавильный')",1
"('плавильный', 'заливочный')",1
"('заливочный', 'установка')",1
"('установка', 'баровой')",1
"('машина', 'автоцистерна')",1
"('пожарный', 'фронтальный')",1
"('погрузчик', 'многофункциональный')",1
"('многофункциональный', 'маневровый')",1
"('маневровый', 'трактор')",1
"('строительный', 'аэродромный')",1
"('аэродромный', 'противообледенительный')",1
"('противообледенительный', 'машина')",1
"('машина', 'амбулифт')",1
"('амбулифт', 'автомобиль')",1
"('автомобиль', 'аэродромный')",1
"('аэродромный', 'пожарный')",1
"('инвалид', 'прицепной')",1
"('прицепной', 'щепорубительный')",1
"('щепорубительный', 'машина')",1
"('полуприцеп', 'топливозаправщик')",1
"('топливозаправщик', 'контейнерный')",1
"('контейнерный', 'погрузчик')",1
"('тракторный', 'топливозаправщик')",1
"('топливозаправщик', 'подъемник')",1
"('подъемник', 'погрузчик')",1
"('погрузчик', 'компрессорный')",1
"('станция', 'агрегат')",1
"('агрегат', 'кислотный')",1
"('скважина', 'минитрактор')",1
"('минитрактор', 'автоцистерна')",1
"('автоцистерна', 'нефтепромысловый')",1
"('нефтепромысловый', 'машина')",1
"('дорога', 'коленчатый')",1
"('подъемник', 'фронтальный')",1
"('фронтальный', 'лесопогрузчик')",1
"('лесопогрузчик', 'прицеп')",1
"('лесовоз', 'прицеп')",1
"('прицеп', 'гудронатор')",1
"('гудронатор', 'разбрасыватель')",1
"('разбрасыватель', 'удобрение')",1
"('удобрение', 'грузовой')",1
"('грузовой', 'самосвал')",1
"('самосвал', 'грузовой')",1
"('полуприцеп', 'бортовой')",1
"('полуприцеп', 'промтоварный')",1
"('промтоварный', 'полуприцеп')",1
"('полуприцеп', 'тентовать')",1
"('тентовать', 'прицеп')",1
"('прицеп', 'торговый')",1
"('торговый', 'грузовой')",1
"('прицеп', 'тентовать')",1
"('тентовать', 'каналопромывочный')",1
"('каналопромывочный', 'машина')",1
"('машина', 'гидродинамический')",1
"('гидродинамический', 'очистка')",1
"('сеть', 'полуприцеп')",1
"('полуприцеп', 'ломовоз')",1
"('ломовоз', 'валочный')",1
"('валочный', 'сучкорезный')",1
"('сучкорезный', 'раскряжевочный')",1
"('раскряжевочный', 'машина')",1
"('машина', 'контейнеровоз')",1
"('контейнеровоз', 'гусеничный')",1
"('гусеничный', 'самосвал')",1
"('самосвал', 'грохот')",1
"('грохот', 'протравливатель')",1
"('протравливатель', 'семя')",1
"('семя', 'прицеп')",1
"('бортовой', 'кбу')",1
"('кбу', 'фургон')",1
"('назначение', 'грузовой')",1
"('фургон', 'лодочный')",1
"('лодочный', 'самоходный')",1
"('подъемник', 'полуприцеп')",1
"('полуприцеп', 'машина')",1
"('строительный', 'многоцелевой')",1
"('многоцелевой', 'прицеп')",1
"('прицеп', 'платформа')",1
"('контейнеровоз', 'подборщик')",1
"('подборщик', 'заказ')",1
"('заказ', 'электрический')",1
"('подъемник', 'платформа')",1
"('платформа', 'автогидроподъемник')",1
"('автогидроподъемник', 'оборачиватель')",1
"('оборачиватель', 'лента')",1
"('лента', 'лен')",1
"('лен', 'снегопогрузчик')",1
"('снегопогрузчик', 'электромобиль')",1
"('электромобиль', 'снегоход')",1
"('снегоход', 'блок')",1
"('блок', 'манифольд')",1
"('манифольд', 'автофургон')",1
"('рефрижератор', 'прицеп')",1
"('прицеп', 'шторный')",1
"('специальный', 'подметальный')",1
"('уборочный', 'прицеп')",1
"('прицеп', 'автовоз')",1
"('автовоз', 'смесительный')",1
"('зарядный', 'установка')",1
"('манипулятор', 'прицеп')",1
"('прицеп', 'нагреватель')",1
"('нагреватель', 'машина')",1
"('внесение', 'жидкий')",1
"('жидкий', 'органический')",1
"('удобрение', 'специализированный')",1
"('средство', 'специализированный')",1
"('пассажирский', 'тс')",1
"('тс', 'снегоболотоход')",1
"('снегоболотоход', 'снегоход')",1
"('снегоход', 'прицеп')",1
"('прицеп', 'растворосмеситель')",1
"('растворосмеситель', 'полуприцеп')",1
"('тяжеловоз', 'газонокосилка')",1
"('газонокосилка', 'прицепной')",1
"('прицепной', 'распределитель')",1
"('распределитель', 'щебень')",1
"('щебень', 'прицеп')",1
"('пескоразбрасыватель', 'автомобиль')",1
"('тягач', 'автопогрузчик')",1
"('автопогрузчик', 'грузовой')",1
"('фронтальный', 'автопогрузчик')",1
"('вилочный', 'каток')",1
"('дорожный', 'бортовой')",1
"('платформа', 'каркас')",1
"('каркас', 'тент')",1
"('тент', 'автомобиль')",1
"('автомобиль', 'мусоровоз')",1
"('мусоровоз', 'снегоболотоход')",1
"('снегоболотоход', 'седельный')",1
"('автомобильный', 'автомобиль')",1
"('самосвал', 'передвижной')",1
"('мастерская', 'автомобиль')",1
"('сортиментовоз', 'специализированный')",1
"('цистерна', 'специализированный')",1
"('кузов', 'специальный')",1
"('тягач', 'фронтальный')",1
"('погрузчик', 'баровой')",1
"('дорожный', 'вибрационный')",1
"('вибрационный', 'грузовой')",1
"('хлебный', 'специальный')",1
"('специальный', 'автокран')",1
"('автокран', 'автофургон')",1
"('автофургон', 'изотермический')",1
"('бортовой', 'грузопассажирский')",1
"('грузопассажирский', 'тс')",1
"('тс', 'специализированный')",1
"('жидкость', 'бортовой')",1
"('платформа', 'ворота')",1
"('вилочный', 'очиститель')",1
"('очиститель', 'зерно')",1
"('зерно', 'полуприцеп')",1
"('мусоровоз', 'специальный')",1
"('загрузка', 'вакуумный')",1
"('вакуумный', 'уборочная')",1
"('уборочная', 'коммунальный')",1
"('прицеп', 'автосамосвал')",1
"('автосамосвал', 'специализированный')",1
"('тяжеловоз', 'бункер')",1
"('бункер', 'наземный')",1
"('наземный', 'перегрузочный')",1
"('перегрузочный', 'фронтальный')",1
"('погрузчик', 'вибрационный')",1
"('вибрационный', 'дорожный')",1
"('каток', 'полуприцеп')",1
"('самосвал', 'смесительный')",1
"('зарядный', 'специальный')",1
"('автомобиль', 'грузопассажирский')",1
"('грузопассажирский', 'мобильный')",1
"('дробильный', 'оборудование')",1
"('оборудование', 'молотковый')",1
"('молотковый', 'дробилка')",1
"('дробилка', 'перевозка')",1
"('питание', 'число')",1
"('число', 'скоропортящийся')",1
"('скоропортящийся', 'фургон')",1
"('самосвал', 'землевоз')",1
"('землевоз', 'самосвал')",1
"('самосвал', 'автопогрузчик')",1
"('захват', 'гидравлический')",1
"('гидравлический', 'свайный')",1
"('свайный', 'копер')",1
"('копер', 'экскаватор')",1
"('экскаватор', 'копровый')",1
"('копровый', 'бурильный')",1
"('установка', 'бортовой')",1
"('платформа', 'фреза')",1
"('фреза', 'электропогрузчик')",1
"('электропогрузчик', 'фургон')",1
"('гидроборт', 'автогрейдер')",1
"('автогрейдер', 'специализированный')",1
"('планировщик', 'специальный')",1
"('манипулятор', 'колесный')",1
"('стреловой', 'короткобазный')",1
"('короткобазный', 'колесный')",1
"('полуприцеп', 'мусоровозный')",1
"('мусоровозный', 'мотовездеход')",1
"('мотовездеход', 'передвижной')",1
"('прицеп', 'информационный')",1
"('информационный', 'предупреждать')",1
"('предупреждать', 'специальный')",1
"('специальный', 'автогазозаправщик')",1
"('автогазозаправщик', 'сельскохозяйственный')",1
"('сельскохозяйственный', 'погрузчик')",1
"('погрузчик', 'ричстакер')",1
"('ричстакер', 'машина')",1
"('машина', 'горизонтально')",1
"('бурильный', 'подъемник')",1
"('ножничный', 'агрегат')",1
"('специализированный', 'тягач')",1
"('лесовозный', 'электроавтобус')",1
"('электроавтобус', 'электрический')",1
"('электрический', 'гольфкар')",1
"('гольфкар', 'трактор')",1
"('трактор', 'садовый')",1
"('садовый', 'ковшевой')",1
"('ковшевой', 'минипогрузчик')",1
"('минипогрузчик', 'специализированный')",1
"('специализированный', 'панелевоз')",1
"('панелевоз', 'измельчитель')",1
"('депарафинизация', 'специальный')",1
"('специальный', 'пожарный')",1
"('автомобиль', 'каток')",1
"('двухосный', 'двухвальцовый')",1
"('двухвальцовый', 'каток')",1
"('двухосный', 'установка')",1
"('бурение', 'трактор')",1
"('сельскохозяйственный', 'специализированный')",1
"('медицинский', 'кабинет')",1
"('кабинет', 'буровой')",1
"('измельчитель', 'ветвь')",1
"('ветвь', 'бортовой')",1
"('тент', 'гидравлический')",1
"('гидравлический', 'буровой')",1
"('установка', 'бурильный')",1
"('машина', 'автоэвакуатор')",1
"('автоэвакуатор', 'кму')",1
"('кму', 'полноповоротный')",1
"('автомобиль', 'общий')",1
"('животное', 'прицеп')",1
"('перевозка', 'техника')",1
"('техника', 'груз')",1
"('груз', 'установка')",1
"('сортировочный', 'автоцистерна')",1
"('автоцистерна', 'заправочный')",1
"('заправочный', 'асфальтоукладчик')",1
"('асфальтоукладчик', 'колесный')",1
"('прицеп', 'подметальный')",1
"('уборочный', 'многоцелевой')",1
"('многоцелевой', 'коммунальный')",1
"('автолавка', 'автопогрузчик')",1
"('автопогрузчик', 'контейнерный')",1
"('контейнерный', 'трактор')",1
"('промышленный', 'колесный')",1
"('колесный', 'ресайклер')",1
"('ресайклер', 'дорожный')",1
"('дорожный', 'мини')",1
"('мини', 'кран')",1
"('кран', 'машина')",1
"('смесительный', 'стабилизация')",1
"('полотно', 'специализированный')",1
"('тягач', 'измельчитель')",1
"('измельчитель', 'прицепной')",1
"('сваебойный', 'гидравлический')",1
"('гидравлический', 'самоходный')",1
"('специальный', 'приготовление')",1
"('приготовление', 'подогрев')",1
"('подогрев', 'транспортировка')",1
"('транспортировка', 'литой')",1
"('асфальт', 'специальный')",1
"('бортовой', 'гидроборт')",1
"('гидроборт', 'шахтный')",1
"('самосвал', 'дробилка')",1
"('дробилка', 'конусный')",1
"('конусный', 'щековый')",1
"('дробилка', 'рециклер')",1
"('рециклер', 'асфальтобетон')",1
"('асфальтобетон', 'специализированный')",1
"('тент', 'прицеп')",1
"('прицеп', 'л')",1
"('л', 'специальный')",1
"('автобетоносмеситель', 'фронтальный')",1
"('фронтальный', 'минипогрузчик')",1
"('минипогрузчик', 'автомобиль')",1
"('автомобиль', 'рефрижератор')",1
"('рефрижератор', 'кран')",1
"('кран', 'автомобильный')",1
"('автомобильный', 'специализированный')",1
"('специализированный', 'кран')",1
"('бортовой', 'самоходный')",1
"('самоходный', 'гидравлический')",1
"('гидравлический', 'установка')",1
"('грузовой', 'тентованный')",1
"('тентованный', 'рефрижератор')",1
"('рефрижератор', 'платформа')",1
"('платформа', 'гидроподъемник')",1
"('гидроподъемник', 'автобус')",1
"('автобус', 'пассажирский')",1
"('пассажирский', 'специальный')",1
"('грузовой', 'прочий')",1
"('прочий', 'специализированный')",1
"('специализированный', 'прочий')",1
"('прочий', 'бульдозер')",1
"('бульдозер', 'специальный')",1
"('автоэвакуатор', 'прицеп')",1
"('прицеп', 'рубильный')",1
"('рубильный', 'установка')",1
"('передвижной', 'мобильный')",1
"('мобильный', 'комплекс')",1
"('комплекс', 'каток')",1
"('вибрационный', 'самоходный')",1
"('самоходный', 'ножничный')",1
"('подъемник', 'бетоносмесительный')",1
"('самозагрузка', 'автомобиль')",1
"('самосвал', 'машина')",1
"('дорожный', 'универсальный')",1
"('малогабаритный', 'колесный')",1
"('газ', 'специальный')",1
"('лаборатория', 'опрыскиватель')",1
"('опрыскиватель', 'самоходный')",1
"('самоходный', 'транспортный')",1
"('средство', 'оказание')",1
"('оказание', 'ритуальный')",1
"('ритуальный', 'услуга')",1
"('услуга', 'короткобазовый')",1
"('короткобазовый', 'кран')",1
"('кран', 'автомобиль')",1
"('выемка', 'грунт')",1
"('грунт', 'бизнес')",1
"('бизнес', 'купе')",1
"('купе', 'автомобиль')",1
"('грузовой', 'погрузчик')",1
"('телескопический', 'специализированный')",1
"('нефтепродукт', 'автомобиль')",1
"('автомобиль', 'спецназначение')",1
"('спецназначение', 'автотопливозаправщик')",1
"('автотопливозаправщик', 'автомобиль')",1
"('специализированный', 'автокран')",1
"('автокран', 'погрузчик')",1
"('фронтальный', 'свеклоуборочный')",1
"('свеклоуборочный', 'комбайн')",1
"('специализированный', 'автофургон')",1
"('автофургон', 'автофургон')",1
"('автофургон', 'специализированный')",1
"('гм', 'специализированный')",1
"('автомобиль', 'мастерский')",1
"('мастерский', 'автомобиль')",1
"('автомобиль', 'вакуумный')",1
"('гм', 'бункер')",1
"('бункер', 'накопитель')",1
"('накопитель', 'перегрузочный')",1
"('перегрузочный', 'специальный')",1
"('сортиментовоз', 'оснащать')",1
"('манипулятор', 'установка')",1
"('бурение', 'бункеровоз')",1
"('бункеровоз', 'каток')",1
"('механизм', 'погрузчик')",1
"('автомобиль', 'аварийный')",1
"('аварийный', 'технический')",1
"('технический', 'служба')",1
"('автолавка', 'специализированный')",1
"('специализированный', 'автотопливозаправщик')",1
"('автотопливозаправщик', 'специальный')",1
"('специальный', 'автогидроподъемник')",1
"('автогидроподъемник', 'специальный')",1
"('мультилифт', 'специализированный')",1
"('контейнеровоз', 'автомобиль')",1
"('фургон', 'грузоподъемный')",1
"('машина', 'погрузчик')",1
"('штабелер', 'тягач')",1
"('гм', 'фронтальный')",1
"('универсальный', 'лесной')",1
"('лесной', 'погрузчик')",1
"('строительный', 'пневмоколесный')",1
"('пневмоколесный', 'одноковшовый')",1
"('фронтальный', 'бортовой')",1
"('ворота', 'специальный')",1
"('борт', 'специальный')",1
"('специальный', 'бурильный')",1
"('машина', 'перегружатель')",1
"('колесный', 'автоэвакуатор')",1
"('автоэвакуатор', 'полуприцеп')",1
"('самосвал', 'фургон')",1
"('фургон', 'установка')",1
"('кму', 'сельскохозяйственный')",1
"('продукт', 'специальный')",1
"('самосвал', 'оснащать')",1
"('захват', 'коммунальный')",1
"('мультилифт', 'колесный')",1
"('колесный', 'трактор')",1
"('универсальный', 'бортовый')",1
"('поворот', 'специальный')",1
"('илососный', 'специальный')",1
"('кму', 'самозагружающийся')",1
"('самозагружающийся', 'мобильный')",1
"('мобильный', 'бетоносмеситель')",1
"('бетоносмеситель', 'грузовой')",1
"('бортовой', 'манипулятор')",1
"('прицеп', 'эвакуатор')",1
"('эвакуатор', 'погрузчик')",1
"('полуприцеп', 'бортовый')",1
"('специальный', 'служба')",1
"('служба', 'установка')",1
"('передвижной', 'специализированный')",1
"('гму', 'полуприцеп')",1
"('цистерна', 'транспортный')",1
"('транспортный', 'погрузчик')",1
"('специальный', 'электротехнический')",1
"('электротехнический', 'лаборатория')",1
"('лаборатория', 'дорожный')",1
"('дорожный', 'лаборатория')",1
"('лаборатория', 'полуприцеп')",1
"('полуприцеп', 'борт')",1
"('борт', 'платформа')",1
"('тент', 'комбайн')",1
"('зерноуборочный', 'самоходный')",1
"('самоходный', 'специализированный')",1
"('зарядный', 'автомобиль')",1
"('рефрижератор', 'комбайн')",1
"('кормоуборочный', 'безбортовой')",1
"('безбортовой', 'полуприцеп')",1
"('тент', 'установка')",1
"('насосный', 'цементирование')",1
"('цементирование', 'скважина')",1
"('скважина', 'передвижной')",1
"('установка', 'тягач')",1
"('кму', 'гм')",1
"('гм', 'кран')",1
"('ход', 'специализированный')",1
"('перевозка', 'кислота')",1
"('кислота', 'специализированный')",1
"('нефтепродукт', 'сельскохозяйственный')",1
"('колесный', 'бортовой')",1
"('гму', 'погрузчик')",1
"('погрузчик', 'сельскохозяйственный')",1
"('сельскохозяйственный', 'цистерна')",1
"('цистерна', 'вакуумный')",1
"('установка', 'дорожный')",1
"('мастер', 'фронтальный')",1
"('колесный', 'сортиментовоз')",1
"('гидроманипулятор', 'подъемник')",1
"('коленчатый', 'электрический')",1
"('электрический', 'автопогрузчик')",1
"('автопогрузчик', 'мини')",1
"('погрузчик', 'сочленять')",1
"('сочленять', 'фронтальный')",1
"('гм', 'универсальный')",1
"('дорожный', 'специальный')",1
"('хозяйство', 'содержание')",1
"('дорога', 'специализированный')",1
"('тент', 'тягач')",1
"('тягач', 'кран')",1
"('стреловой', 'полуприцеп')",1
"('бортовой', 'одноковшовый')",1
"('экскаватор', 'комбайн')",1
"('зерноуборочный', 'погрузчик')",1
"('одноковшовый', 'электротягач')",1
"('электротягач', 'электропогрузчик')",1
"('захват', 'каток')",1
"('самоходный', 'автомобиль')",1
"('скорый', 'медицинский')",1
"('медицинский', 'помощь')",1
"('помощь', 'кран')",1
"('трубоукладчик', 'специальный')",1
"('установка', 'погрузчик')",1
"('самосвал', 'цистерна')",1
"('цистерна', 'пищевой')",1
"('подъемник', 'прицеп')",1
"('прицеп', 'гидравлический')",1
"('специальный', 'кран')",1
"('автомобильный', 'седельный')",1
"('тягач', 'гусеничный')",1
"('экскаватор', 'мини')",1
"('фронтальный', 'прицеп')",1
"('сельскохозяйственный', 'бортовой')",1
"('манипулятор', 'автопогрузчик')",1
"('универсальный', 'установка')",1
"('установка', 'статический')",1
"('статический', 'зондирование')",1
"('зондирование', 'специальный')",1
"('тягач', 'бортовой')",1
"('бортовой', 'г')",1
"('г', 'м')",1
"('м', 'специальный')",1
"('специальный', 'грузопассажирский')",1
"('грузопассажирский', 'автомобиль')",1
"('седельный', 'грузовой')",1
"('вакуумный', 'грузовой')",1
"('тентованый', 'агрегат')",1
"('пожарный', 'бортовой')",1
"('кузов', 'фургон')",1
"('рефрижератор', 'погрузчик')",1
"('колесный', 'сортиментовозный')",1
"('сортиментовозный', 'прицеп')",1
"('автомобиль', 'кму')",1
"('самосвал', 'стреловой')",1
"('кран', 'погрузчик')",1
"('колесный', 'автоцистерна')",1
"('автоцистерна', 'акна')",1
"('акна', 'мини')",1
"('поворот', 'пожарный')",1
"('автомобиль', 'комбинированный')",1
"('комбинированный', 'тушение')",1
"('тушение', 'бульдозер')",1
"('комбикорм', 'самосвал')",1
"('цистерна', 'мастерская')",1
"('мастерская', 'вилочный')",1
"('металловоз', 'гм')",1
"('борт', 'погрузчик')",1
"('вилочный', 'грузовой')",1
"('грузовой', 'промтоварный')",1
"('гм', 'специальный')",1
"('многофункциональный', 'комбинированный')",1
"('автомобиль', 'ритуальный')",1
"('ритуальный', 'машина')",1
"('специальный', 'автобетононасос')",1
"('автобетононасос', 'полуприцеп')",1
"('самосвальный', 'специальный')",1
"('грузовой', 'перевозка')",1
"('перевозка', 'оборудование')",1
"('оборудование', 'дорожный')",1
"('мастер', 'самоходный')",1
"('самоходный', 'сваевдавливать')",1
"('копер', 'машина')",1
"('дорожный', 'комбинировать')",1
"('комбинировать', 'экскаватор')",1
"('гусеничный', 'цистерна')",1
"('цистерна', 'грузовой')",1
"('изотермический', 'гидроборт')",1
"('измельчитель', 'древесный')",1
"('древесный', 'машина')",1
"('машина', 'распределять')",1
"('распределять', 'полуприцепной')",1
"('полуприцепной', 'погрузчик')",1
"('погрузчик', 'подземный')",1
"('работа', 'шахтный')",1
"('самосвал', 'подземный')",1
"('работа', 'машина')",1
"('машина', 'уборочная')",1
"('уборочная', 'специализированный')",1
"('груз', 'погрузчик')",1
"('экскаватор', 'трактор')",1
"('полуприцеп', 'сортиментовозный')",1
"('сортиментовозный', 'специальный')",1
"('специальный', 'полуприцеп')",1
"('самосвал', 'полуприцеп')",1
"('лесовоз', 'первичный')",1
"('первичный', 'измельчитель')",1
"('специальный', 'аварийный')",1
"('аварийный', 'служба')",1
"('служба', 'вилочный')",1
"('фронтальный', 'автомобиль')",1
"('манипулятор', 'каток')",1
"('каток', 'ручной')",1
"('ручной', 'специализированный')",1
"('прицеп', 'автолавка')",1
"('автолавка', 'автомобиль')",1
"('лаборатория', 'передвижной')",1
"('передвижной', 'тягач')",1
"('автомобиль', 'зерновоз')",1
"('зерновоз', 'экскаватор')",1
"('ломовоз', 'погрузчик')",1
"('специальный', 'фронтальный')",1
"('рефрижератор', 'автобус')",1
"('автобус', 'крюковой')",1
"('электрический', 'тележка')",1
"('тележка', 'экскаватор')",1
"('колесный', 'многофункциональный')",1
"('жидкость', 'машина')",1
"('сеть', 'перевозка')",1
"('груз', 'общий')",1
"('назначение', 'комбинированный')",1
"('машина', 'бортовой')",1
"('кму', 'ресайклер')",1
"('ресайклер', 'кран')",1
"('стреловой', 'короткобазовый')",1
"('короткобазовый', 'перегружатель')",1
"('перегружатель', 'вилочный')",1
"('агрегат', 'сбор')",1
"('сбор', 'газовый')",1
"('конденсат', 'нефть')",1
"('нефть', 'телескопический')",1
"('погрузчик', 'передвижной')",1
"('передвижной', 'осветительный')",1
"('осветительный', 'мачта')",1
"('мачта', 'дизельный')",1
"('специальный', 'комбинированный')",1
"('машина', 'распределитель')",1
"('распределитель', 'вязать')",1
"('вязать', 'материал')",1
"('коммунальный', 'специализированный')",1
"('самосвал', 'погрузчик')",1
"('погрузчик', 'землевоз')",1
"('землевоз', 'рама')",1
"('рама', 'тягач')",1
"('специальный', 'каток')",1
"('каток', 'траншейный')",1
"('траншейный', 'самоходный')",1
"('самосвальный', 'трехосный')",1
"('трехосный', 'кран')",1
"('самоходный', 'дробилка')",1
"('дробилка', 'щековый')",1
"('щековый', 'специализированный')",1
"('комбикорм', 'автомобиль')",1
"('лесовозный', 'специализированный')",1
"('специализированный', 'седельный')",1
"('тягач', 'буксировка')",1
"('буксировка', 'полуприцеп')",1
"('груз', 'электропогрузчик')",1
"('вилочный', 'фургон')",1
"('промтоварный', 'специальный')",1
"('вахтовый', 'трактор')",1
"('гусеничный', 'сельскохозяйственный')",1
"('грузоподъемный', 'гидроборт')",1
"('гидроборт', 'самоходный')",1
"('самоходный', 'смеситель')",1
"('кормораздатчик', 'специальный')",1
"('цементировочный', 'бульдозер')",1
"('колесный', 'универсальный')",1
"('стрела', 'снегоболотоход')",1
"('снегоболотоход', 'гусеничный')",1
"('зерновоз', 'грузовой')",1
"('асмп', 'прицеп')",1
"('содержание', 'ремонт')",1
"('ремонт', 'лесовозный')",1
"('лесовозный', 'дорога')",1
"('дорога', 'снегоуплотнительный')",1
"('снегоуплотнительный', 'машина')",1
"('машина', 'снегоболотоход')",1
"('самосвал', 'кран')",1
"('автобус', 'специализированный')",1
"('сортиментовоз', 'специальный')",1
"('грузовой', 'дорожный')",1
"('мастер', 'разметочный')",1
"('самоходный', 'фрезерование')",1
"('фрезерование', 'почва')",1
"('почва', 'экскаватор')",1
"('планировщик', 'пмс')",1
"('пмс', 'трактор')",1
"('колесный', 'грузопассажирский')",1
"('грузопассажирский', 'кран')",1
"('кран', 'мобильный')",1
"('мобильный', 'установка')",1
"('бурение', 'каток')",1
"('передвижной', 'буровой')",1
"('установка', 'мастерский')",1
"('передвижной', 'подъемник')",1
"('подъемник', 'мачтовый')",1
"('мачтовый', 'телескопический')",1
"('телескопический', 'специальный')",1
"('служба', 'тягач')",1
"('тягач', 'трелевочный')",1
"('трелевочный', 'полуприцеп')",1
"('полуприцеп', 'специальный')",1
"('специальный', 'снегоочиститель')",1
"('шнекороторный', 'транспортный')",1
"('транспортный', 'гусеничный')",1
"('вездеход', 'машина')",1
"('машина', 'льдозаливочный')",1
"('льдозаливочный', 'электрический')",1
"('ричтрак', 'грузовой')",1
"('грузовой', 'бортовый')",1
"('платформа', 'бетононасос')",1
"('бетононасос', 'автомобильный')",1
"('автомобильный', 'кран')",1
"('стреловой', 'сельскохозяйственный')",1
"('сельскохозяйственный', 'опрыскиватель')",1
"('опрыскиватель', 'специальный')",1
"('мастерская', 'специальный')",1
"('автомобильный', 'гусеничный')",1
"('специальный', 'автотопливозаправщик')",1
"('автотопливозаправщик', 'кормоуборочный')",1
"('кормоуборочный', 'комбайн')",1
"('комбинировать', 'уборочная')",1
"('уборочная', 'поломоечный')",1
"('поломоечный', 'машина')",1
"('передвижной', 'автопогрузчик')",1
"('платформа', 'зерноуборочный')",1
"('зерноуборочный', 'комбайн')",1
"('комбайн', 'трактор')",1
"('гусеничный', 'установка')",1
"('установка', 'сортировочная')",1
"('сортировочная', 'передвижной')",1
"('передвижной', 'грохот')",1
"('грохот', 'специальный')",1
"('самоходный', 'лесной')",1
"('лесной', 'машина')",1
"('ход', 'навесный')",1
"('навесный', 'экскаваторный')",1
"('экскаваторный', 'установка')",1
"('перевозка', 'колесногусеничный')",1
"('колесногусеничный', 'техника')",1
"('техника', 'трактор')",1
"('промышленный', 'гусеничный')",1
"('ход', 'снегоочиститель')",1
"('снегоочиститель', 'роторный')",1
"('роторный', 'штабелер')",1
"('штабелер', 'автомобиль')",1
"('гидроманипулятор', 'полноповоротный')",1
"('полноповоротный', 'гидравлический')",1
"('гидравлический', 'мини')",1
"('грузовой', 'автобетононасос')",1
"('автобетононасос', 'самоходный')",1
"('опрыскиватель', 'фургон')",1
"('фургон', 'хлебобулочный')",1
"('груз', 'карьерный')",1
"('сортиментовоз', 'машина')",1
"('погрузочный', 'транспортный')",1
"('транспортный', 'специальный')",1
"('автобетоносмеситель', 'специальный')",1
"('специальный', 'ломовоз')",1
