Триграмма,Частота
"('асфальтобетон', 'специализированный', 'грузовой')",1
"('грузовой', 'бортовой', 'автомобиль')",1
"('бортовой', 'автомобиль', 'бортовой')",1
"('автомобиль', 'бортовой', 'тент')",1
"('бортовой', 'тент', 'прицеп')",1
"('тент', 'прицеп', 'л')",1
"('прицеп', 'л', 'специальный')",1
"('л', 'специальный', 'автобетоносмеситель')",1
"('специальный', 'автобетоносмеситель', 'фронтальный')",1
"('автобетоносмеситель', 'фронтальный', 'минипогрузчик')",1
"('фронтальный', 'минипогрузчик', 'автомобиль')",1
"('минипогрузчик', 'автомобиль', 'рефрижератор')",1
"('автомобиль', 'рефрижератор', 'грузовой')",1
"('рефрижератор', 'грузовой', 'фургон')",1
"('фургон', 'рефрижератор', 'кран')",1
"('рефрижератор', 'кран', 'автомобильный')",1
"('кран', 'автомобильный', 'специализированный')",1
"('автомобильный', 'специализированный', 'кран')",1
"('специализированный', 'кран', 'манипулятор')",1
"('автомобильный', 'бортовой', 'самоходный')",1
"('бортовой', 'самоходный', 'гидравлический')",1
"('самоходный', 'гидравлический', 'установка')",1
"('гидравлический', 'установка', 'специализированный')",1
"('установка', 'специализированный', 'грузовой')",1
"('специализированный', 'грузовой', 'тентованный')",1
"('грузовой', 'тентованный', 'рефрижератор')",1
"('тентованный', 'рефрижератор', 'платформа')",1
"('рефрижератор', 'платформа', 'гидроподъемник')",1
"('платформа', 'гидроподъемник', 'автобус')",1
"('гидроподъемник', 'автобус', 'пассажирский')",1
"('автобус', 'пассажирский', 'специальный')",1
"('пассажирский', 'специальный', 'оснащать')",1
"('специальный', 'оснащать', 'кран')",1
"('манипулятор', 'специализированный', 'самосвал')",1
"('кму', 'грузовой', 'прочий')",1
"('грузовой', 'прочий', 'специализированный')",1
"('прочий', 'специализированный', 'прочий')",1
"('специализированный', 'прочий', 'бульдозер')",1
"('прочий', 'бульдозер', 'специальный')",1
"('бульдозер', 'специальный', 'автоэвакуатор')",1
"('специальный', 'автоэвакуатор', 'прицеп')",1
"('автоэвакуатор', 'прицеп', 'рубильный')",1
"('прицеп', 'рубильный', 'установка')",1
"('рубильный', 'установка', 'специальный')",1
"('установка', 'специальный', 'передвижной')",1
"('специальный', 'передвижной', 'мобильный')",1
"('передвижной', 'мобильный', 'комплекс')",1
"('мобильный', 'комплекс', 'каток')",1
"('комплекс', 'каток', 'дорожный')",1
"('дорожный', 'самоходный', 'вибрационный')",1
"('самоходный', 'вибрационный', 'самоходный')",1
"('вибрационный', 'самоходный', 'ножничный')",1
"('самоходный', 'ножничный', 'подъемник')",1
"('ножничный', 'подъемник', 'бетоносмесительный')",1
"('подъемник', 'бетоносмесительный', 'машина')",1
"('функция', 'самозагрузка', 'автомобиль')",1
"('самозагрузка', 'автомобиль', 'самосвал')",1
"('автомобиль', 'самосвал', 'машина')",1
"('самосвал', 'машина', 'дорожный')",1
"('машина', 'дорожный', 'универсальный')",1
"('дорожный', 'универсальный', 'погрузчик')",1
"('универсальный', 'погрузчик', 'малогабаритный')",1
"('погрузчик', 'малогабаритный', 'колесный')",1
"('малогабаритный', 'колесный', 'полуприцеп')",1
"('колесный', 'полуприцеп', 'грузовой')",1
"('полуприцеп', 'грузовой', 'автомобиль')",1
"('грузовой', 'автомобиль', 'тягач')",1
"('автомобиль', 'тягач', 'специальный')",1
"('тягач', 'специальный', 'мастерская')",1
"('специальный', 'мастерская', 'кму')",1
"('мастерская', 'кму', 'специализированный')",1
"('кму', 'специализированный', 'перевозка')",1
"('углеводородный', 'газ', 'специальный')",1
"('газ', 'специальный', 'лаборатория')",1
"('специальный', 'лаборатория', 'опрыскиватель')",1
"('лаборатория', 'опрыскиватель', 'самоходный')",1
"('опрыскиватель', 'самоходный', 'транспортный')",1
"('самоходный', 'транспортный', 'средство')",1
"('транспортный', 'средство', 'оказание')",1
"('средство', 'оказание', 'ритуальный')",1
"('оказание', 'ритуальный', 'услуга')",1
"('ритуальный', 'услуга', 'короткобазовый')",1
"('услуга', 'короткобазовый', 'кран')",1
"('короткобазовый', 'кран', 'автомобиль')",1
"('кран', 'автомобиль', 'ломовоз')",1
"('ломовоз', 'кму', 'специализированный')",1
"('кму', 'специализированный', 'рефрижератор')",1
"('специализированный', 'рефрижератор', 'машина')",1
"('рефрижератор', 'машина', 'выемка')",1
"('машина', 'выемка', 'грунт')",1
"('выемка', 'грунт', 'бизнес')",1
"('грунт', 'бизнес', 'купе')",1
"('бизнес', 'купе', 'автомобиль')",1
"('купе', 'автомобиль', 'грузовой')",1
"('автомобиль', 'грузовой', 'погрузчик')",1
"('грузовой', 'погрузчик', 'телескопический')",1
"('погрузчик', 'телескопический', 'специализированный')",1
"('телескопический', 'специализированный', 'перевозка')",1
"('перевозка', 'нефтепродукт', 'автомобиль')",1
"('нефтепродукт', 'автомобиль', 'спецназначение')",1
"('автомобиль', 'спецназначение', 'автотопливозаправщик')",1
"('спецназначение', 'автотопливозаправщик', 'автомобиль')",1
"('автотопливозаправщик', 'автомобиль', 'бортовой')",1
"('автомобиль', 'бортовой', 'прицеп')",1
"('бортовой', 'прицеп', 'грузовой')",1
"('прицеп', 'грузовой', 'специальный')",1
"('грузовой', 'специальный', 'специализированный')",1
"('специальный', 'специализированный', 'автокран')",1
"('специализированный', 'автокран', 'погрузчик')",1
"('автокран', 'погрузчик', 'одноковшовый')",1
"('одноковшовый', 'фронтальный', 'свеклоуборочный')",1
"('фронтальный', 'свеклоуборочный', 'комбайн')",1
"('свеклоуборочный', 'комбайн', 'специализированный')",1
"('комбайн', 'специализированный', 'автофургон')",1
"('специализированный', 'автофургон', 'автофургон')",1
"('автофургон', 'автофургон', 'специализированный')",1
"('автофургон', 'специализированный', 'фургон')",1
"('специализированный', 'фургон', 'изотермический')",1
"('изотермический', 'автомобиль', 'тягач')",1
"('лесовозный', 'гм', 'специализированный')",1
"('гм', 'специализированный', 'самосвал')",1
"('самосвал', 'кму', 'специальный')",1
"('кму', 'специальный', 'автомобиль')",1
"('специальный', 'автомобиль', 'мастерский')",1
"('автомобиль', 'мастерский', 'автомобиль')",1
"('мастерский', 'автомобиль', 'вакуумный')",1
"('автомобиль', 'вакуумный', 'специальный')",1
"('лесовозный', 'гм', 'бункер')",1
"('гм', 'бункер', 'накопитель')",1
"('бункер', 'накопитель', 'перегрузочный')",1
"('накопитель', 'перегрузочный', 'специальный')",1
"('перегрузочный', 'специальный', 'обслуживание')",1
"('газовый', 'скважина', 'специализированный')",1
"('скважина', 'специализированный', 'сортиментовоз')",1
"('специализированный', 'сортиментовоз', 'оснащать')",1
"('сортиментовоз', 'оснащать', 'кран')",1
"('кран', 'манипулятор', 'установка')",1
"('манипулятор', 'установка', 'разведочный')",1
"('разведочный', 'бурение', 'бункеровоз')",1
"('бурение', 'бункеровоз', 'каток')",1
"('бункеровоз', 'каток', 'вибрационный')",1
"('каток', 'вибрационный', 'автомобиль')",1
"('шторный', 'механизм', 'погрузчик')",1
"('механизм', 'погрузчик', 'одноковшовый')",1
"('колесный', 'автомобиль', 'специальный')",1
"('автомобиль', 'специальный', 'автомобиль')",1
"('специальный', 'автомобиль', 'аварийный')",1
"('автомобиль', 'аварийный', 'технический')",1
"('аварийный', 'технический', 'служба')",1
"('технический', 'служба', 'специальный')",1
"('служба', 'специальный', 'автолавка')",1
"('специальный', 'автолавка', 'специализированный')",1
"('автолавка', 'специализированный', 'автотопливозаправщик')",1
"('специализированный', 'автотопливозаправщик', 'специальный')",1
"('автотопливозаправщик', 'специальный', 'автогидроподъемник')",1
"('специальный', 'автогидроподъемник', 'специальный')",1
"('автогидроподъемник', 'специальный', 'мультилифт')",1
"('специальный', 'мультилифт', 'специализированный')",1
"('мультилифт', 'специализированный', 'полуприцеп')",1
"('специализированный', 'полуприцеп', 'контейнеровоз')",1
"('полуприцеп', 'контейнеровоз', 'автомобиль')",1
"('контейнеровоз', 'автомобиль', 'фургон')",1
"('автомобиль', 'фургон', 'грузоподъемный')",1
"('фургон', 'грузоподъемный', 'борт')",1
"('грузоподъемный', 'борт', 'самоходный')",1
"('борт', 'самоходный', 'бурильный')",1
"('самоходный', 'бурильный', 'машина')",1
"('бурильный', 'машина', 'погрузчик')",1
"('машина', 'погрузчик', 'штабелер')",1
"('погрузчик', 'штабелер', 'тягач')",1
"('штабелер', 'тягач', 'лесовозный')",1
"('лесовозный', 'гм', 'фронтальный')",1
"('гм', 'фронтальный', 'вилочный')",1
"('вилочный', 'погрузчик', 'машина')",1
"('погрузчик', 'машина', 'универсальный')",1
"('машина', 'универсальный', 'лесной')",1
"('универсальный', 'лесной', 'погрузчик')",1
"('лесной', 'погрузчик', 'строительный')",1
"('погрузчик', 'строительный', 'пневмоколесный')",1
"('строительный', 'пневмоколесный', 'одноковшовый')",1
"('пневмоколесный', 'одноковшовый', 'фронтальный')",1
"('одноковшовый', 'фронтальный', 'бортовой')",1
"('фронтальный', 'бортовой', 'тент')",1
"('бортовой', 'тент', 'ворота')",1
"('тент', 'ворота', 'специальный')",1
"('ворота', 'специальный', 'автомобиль')",1
"('специальный', 'автомобиль', 'фургон')",1
"('грузоподъемный', 'борт', 'специальный')",1
"('борт', 'специальный', 'бурильный')",1
"('специальный', 'бурильный', 'крановый')",1
"('крановый', 'машина', 'перегружатель')",1
"('машина', 'перегружатель', 'колесный')",1
"('перегружатель', 'колесный', 'автоэвакуатор')",1
"('колесный', 'автоэвакуатор', 'полуприцеп')",1
"('автоэвакуатор', 'полуприцеп', 'тракторный')",1
"('полуприцеп', 'тракторный', 'специальный')",1
"('тракторный', 'специальный', 'машина')",1
"('комбинировать', 'специальный', 'самосвал')",1
"('специальный', 'самосвал', 'фургон')",1
"('самосвал', 'фургон', 'установка')",1
"('фургон', 'установка', 'горизонтальный')",1
"('бурение', 'специальный', 'седельный')",1
"('тягач', 'кму', 'сельскохозяйственный')",1
"('кму', 'сельскохозяйственный', 'трактор')",1
"('сельскохозяйственный', 'трактор', 'специализированный')",1
"('трактор', 'специализированный', 'фургон')",1
"('пищевой', 'продукт', 'специальный')",1
"('продукт', 'специальный', 'самосвал')",1
"('специальный', 'самосвал', 'оснащать')",1
"('самосвал', 'оснащать', 'кран')",1
"('манипулятор', 'погрузчик', 'фронтальный')",1
"('фронтальный', 'телескопический', 'автопогрузчик')",1
"('телескопический', 'автопогрузчик', 'вилочный')",1
"('вилочный', 'захват', 'коммунальный')",1
"('захват', 'коммунальный', 'дорожный')",1
"('коммунальный', 'дорожный', 'машина')",1
"('дорожный', 'машина', 'грузовой')",1
"('машина', 'грузовой', 'бортовой')",1
"('манипулятор', 'специальный', 'грузовой')",1
"('манипулятор', 'автомобиль', 'специальный')",1
"('автомобиль', 'специальный', 'мультилифт')",1
"('специальный', 'мультилифт', 'колесный')",1
"('мультилифт', 'колесный', 'трактор')",1
"('колесный', 'трактор', 'погрузчик')",1
"('трактор', 'погрузчик', 'универсальный')",1
"('погрузчик', 'универсальный', 'бортовый')",1
"('универсальный', 'бортовый', 'поворот')",1
"('бортовый', 'поворот', 'специальный')",1
"('поворот', 'специальный', 'машина')",1
"('специальный', 'машина', 'илососный')",1
"('машина', 'илососный', 'специальный')",1
"('илососный', 'специальный', 'автомобиль')",1
"('лесовозный', 'кму', 'самозагружающийся')",1
"('кму', 'самозагружающийся', 'мобильный')",1
"('самозагружающийся', 'мобильный', 'бетоносмеситель')",1
"('мобильный', 'бетоносмеситель', 'грузовой')",1
"('бетоносмеситель', 'грузовой', 'бортовой')",1
"('грузовой', 'бортовой', 'манипулятор')",1
"('бортовой', 'манипулятор', 'специализированный')",1
"('манипулятор', 'специализированный', 'автомобиль')",1
"('специализированный', 'автомобиль', 'ломовоз')",1
"('кму', 'прицеп', 'специальный')",1
"('прицеп', 'специальный', 'прицеп')",1
"('специальный', 'прицеп', 'эвакуатор')",1
"('прицеп', 'эвакуатор', 'погрузчик')",1
"('эвакуатор', 'погрузчик', 'экскаватор')",1
"('погрузчик', 'экскаватор', 'колесный')",1
"('экскаватор', 'колесный', 'полуприцеп')",1
"('колесный', 'полуприцеп', 'бортовый')",1
"('полуприцеп', 'бортовый', 'платформа')",1
"('бортовый', 'платформа', 'специальный')",1
"('платформа', 'специальный', 'служба')",1
"('специальный', 'служба', 'установка')",1
"('служба', 'установка', 'промысловый')",1
"('паровой', 'передвижной', 'специализированный')",1
"('передвижной', 'специализированный', 'самосвал')",1
"('специализированный', 'самосвал', 'гму')",1
"('самосвал', 'гму', 'полуприцеп')",1
"('гму', 'полуприцеп', 'цистерна')",1
"('полуприцеп', 'цистерна', 'транспортный')",1
"('цистерна', 'транспортный', 'погрузчик')",1
"('транспортный', 'погрузчик', 'каток')",1
"('погрузчик', 'каток', 'специальный')",1
"('каток', 'специальный', 'электротехнический')",1
"('специальный', 'электротехнический', 'лаборатория')",1
"('электротехнический', 'лаборатория', 'дорожный')",1
"('лаборатория', 'дорожный', 'лаборатория')",1
"('дорожный', 'лаборатория', 'полуприцеп')",1
"('лаборатория', 'полуприцеп', 'борт')",1
"('полуприцеп', 'борт', 'платформа')",1
"('борт', 'платформа', 'тент')",1
"('платформа', 'тент', 'комбайн')",1
"('тент', 'комбайн', 'зерноуборочный')",1
"('комбайн', 'зерноуборочный', 'самоходный')",1
"('зерноуборочный', 'самоходный', 'специализированный')",1
"('самоходный', 'специализированный', 'автоцистерна')",1
"('специализированный', 'автоцистерна', 'специальный')",1
"('специальный', 'машина', 'смесительный')",1
"('машина', 'смесительный', 'зарядный')",1
"('смесительный', 'зарядный', 'автомобиль')",1
"('зарядный', 'автомобиль', 'фургон')",1
"('фургон', 'рефрижератор', 'комбайн')",1
"('рефрижератор', 'комбайн', 'кормоуборочный')",1
"('комбайн', 'кормоуборочный', 'безбортовой')",1
"('кормоуборочный', 'безбортовой', 'полуприцеп')",1
"('безбортовой', 'полуприцеп', 'тент')",1
"('полуприцеп', 'тент', 'установка')",1
"('тент', 'установка', 'насосный')",1
"('установка', 'насосный', 'цементирование')",1
"('насосный', 'цементирование', 'скважина')",1
"('цементирование', 'скважина', 'передвижной')",1
"('скважина', 'передвижной', 'парогенераторный')",1
"('парогенераторный', 'установка', 'тягач')",1
"('установка', 'тягач', 'лесовозный')",1
"('лесовозный', 'кму', 'гм')",1
"('кму', 'гм', 'кран')",1
"('гм', 'кран', 'стреловой')",1
"('кран', 'стреловой', 'гусеничный')",1
"('стреловой', 'гусеничный', 'ход')",1
"('гусеничный', 'ход', 'специализированный')",1
"('ход', 'специализированный', 'перевозка')",1
"('груз', 'специализированный', 'автоцистерна')",1
"('автоцистерна', 'перевозка', 'кислота')",1
"('перевозка', 'кислота', 'специализированный')",1
"('кислота', 'специализированный', 'перевозка')",1
"('перевозка', 'нефтепродукт', 'сельскохозяйственный')",1
"('нефтепродукт', 'сельскохозяйственный', 'трактор')",1
"('сельскохозяйственный', 'трактор', 'колесный')",1
"('трактор', 'колесный', 'бортовой')",1
"('колесный', 'бортовой', 'тент')",1
"('бортовой', 'тент', 'специальный')",1
"('тент', 'специальный', 'самосвал')",1
"('специальный', 'самосвал', 'гму')",1
"('самосвал', 'гму', 'погрузчик')",1
"('гму', 'погрузчик', 'сельскохозяйственный')",1
"('погрузчик', 'сельскохозяйственный', 'цистерна')",1
"('сельскохозяйственный', 'цистерна', 'вакуумный')",1
"('цистерна', 'вакуумный', 'специальный')",1
"('специальный', 'автомобиль', 'металловоз')",1
"('металловоз', 'кму', 'самоходный')",1
"('кму', 'самоходный', 'буровой')",1
"('самоходный', 'буровой', 'установка')",1
"('буровой', 'установка', 'дорожный')",1
"('установка', 'дорожный', 'мастер')",1
"('дорожный', 'мастер', 'фронтальный')",1
"('мастер', 'фронтальный', 'погрузчик')",1
"('одноковшовый', 'колесный', 'сортиментовоз')",1
"('колесный', 'сортиментовоз', 'гидроманипулятор')",1
"('сортиментовоз', 'гидроманипулятор', 'подъемник')",1
"('гидроманипулятор', 'подъемник', 'коленчатый')",1
"('подъемник', 'коленчатый', 'электрический')",1
"('коленчатый', 'электрический', 'автопогрузчик')",1
"('электрический', 'автопогрузчик', 'мини')",1
"('автопогрузчик', 'мини', 'погрузчик')",1
"('мини', 'погрузчик', 'сочленять')",1
"('погрузчик', 'сочленять', 'фронтальный')",1
"('сочленять', 'фронтальный', 'специализированный')",1
"('груз', 'специализированный', 'сортиментовоз')",1
"('специализированный', 'сортиментовоз', 'гм')",1
"('сортиментовоз', 'гм', 'универсальный')",1
"('гм', 'универсальный', 'машина')",1
"('универсальный', 'машина', 'дорожный')",1
"('машина', 'дорожный', 'специальный')",1
"('дорожный', 'специальный', 'коммунальный')",1
"('коммунальный', 'хозяйство', 'содержание')",1
"('хозяйство', 'содержание', 'дорога')",1
"('содержание', 'дорога', 'специализированный')",1
"('дорога', 'специализированный', 'бортовой')",1
"('полуприцеп', 'тент', 'тягач')",1
"('тент', 'тягач', 'кран')",1
"('тягач', 'кран', 'стреловой')",1
"('кран', 'стреловой', 'полуприцеп')",1
"('стреловой', 'полуприцеп', 'фургон')",1
"('полуприцеп', 'фургон', 'кран')",1
"('автомобильный', 'бортовой', 'одноковшовый')",1
"('бортовой', 'одноковшовый', 'погрузчик')",1
"('одноковшовый', 'погрузчик', 'экскаватор')",1
"('погрузчик', 'экскаватор', 'комбайн')",1
"('экскаватор', 'комбайн', 'зерноуборочный')",1
"('комбайн', 'зерноуборочный', 'погрузчик')",1
"('зерноуборочный', 'погрузчик', 'одноковшовый')",1
"('погрузчик', 'одноковшовый', 'электротягач')",1
"('одноковшовый', 'электротягач', 'электропогрузчик')",1
"('электротягач', 'электропогрузчик', 'вилочный')",1
"('электропогрузчик', 'вилочный', 'захват')",1
"('вилочный', 'захват', 'каток')",1
"('захват', 'каток', 'дорожный')",1
"('дорожный', 'самоходный', 'автомобиль')",1
"('самоходный', 'автомобиль', 'скорый')",1
"('автомобиль', 'скорый', 'медицинский')",1
"('скорый', 'медицинский', 'помощь')",1
"('медицинский', 'помощь', 'кран')",1
"('помощь', 'кран', 'трубоукладчик')",1
"('кран', 'трубоукладчик', 'специальный')",1
"('трубоукладчик', 'специальный', 'передвижной')",1
"('парогенераторный', 'установка', 'погрузчик')",1
"('установка', 'погрузчик', 'фронтальный')",1
"('фронтальный', 'одноковшовый', 'специальный')",1
"('одноковшовый', 'специальный', 'прицеп')",1
"('специальный', 'прицеп', 'самосвал')",1
"('прицеп', 'самосвал', 'цистерна')",1
"('самосвал', 'цистерна', 'пищевой')",1
"('цистерна', 'пищевой', 'жидкость')",1
"('жидкость', 'подъемник', 'прицеп')",1
"('подъемник', 'прицеп', 'гидравлический')",1
"('прицеп', 'гидравлический', 'специальный')",1
"('гидравлический', 'специальный', 'кран')",1
"('специальный', 'кран', 'манипулятор')",1
"('манипулятор', 'автомобильный', 'седельный')",1
"('автомобильный', 'седельный', 'тягач')",1
"('седельный', 'тягач', 'гусеничный')",1
"('тягач', 'гусеничный', 'экскаватор')",1
"('гусеничный', 'экскаватор', 'мини')",1
"('экскаватор', 'мини', 'погрузчик')",1
"('мини', 'погрузчик', 'фронтальный')",1
"('погрузчик', 'фронтальный', 'прицеп')",1
"('фронтальный', 'прицеп', 'тракторный')",1
"('тракторный', 'сельскохозяйственный', 'бортовой')",1
"('сельскохозяйственный', 'бортовой', 'кран')",1
"('кран', 'манипулятор', 'автопогрузчик')",1
"('манипулятор', 'автопогрузчик', 'агрегат')",1
"('автопогрузчик', 'агрегат', 'сварочный')",1
"('сварочный', 'самоходный', 'экскаватор')",1
"('самоходный', 'экскаватор', 'одноковшовый')",1
"('экскаватор', 'одноковшовый', 'погрузчик')",1
"('одноковшовый', 'погрузчик', 'универсальный')",1
"('погрузчик', 'универсальный', 'установка')",1
"('универсальный', 'установка', 'статический')",1
"('установка', 'статический', 'зондирование')",1
"('статический', 'зондирование', 'специальный')",1
"('зондирование', 'специальный', 'грузовой')",1
"('седельный', 'тягач', 'бортовой')",1
"('тягач', 'бортовой', 'г')",1
"('бортовой', 'г', 'м')",1
"('г', 'м', 'специальный')",1
"('м', 'специальный', 'грузопассажирский')",1
"('специальный', 'грузопассажирский', 'автомобиль')",1
"('грузопассажирский', 'автомобиль', 'специальный')",1
"('автомобиль', 'специальный', 'грузовой')",1
"('специальный', 'грузовой', 'тягач')",1
"('тягач', 'седельный', 'грузовой')",1
"('седельный', 'грузовой', 'фургон')",1
"('грузовой', 'фургон', 'изотермический')",1
"('фургон', 'изотермический', 'специализированный')",1
"('изотермический', 'специализированный', 'автоцистерна')",1
"('специализированный', 'автоцистерна', 'вакуумный')",1
"('автоцистерна', 'вакуумный', 'грузовой')",1
"('вакуумный', 'грузовой', 'бортовой')",1
"('бортовой', 'тентованый', 'агрегат')",1
"('тентованый', 'агрегат', 'сварочный')",1
"('сварочный', 'самоходный', 'гусеничный')",1
"('самоходный', 'гусеничный', 'специализированный')",1
"('гусеничный', 'специализированный', 'фургон')",1
"('специализированный', 'фургон', 'рефрижератор')",1
"('рефрижератор', 'специальный', 'автоцистерна')",1
"('специальный', 'автоцистерна', 'пожарный')",1
"('автоцистерна', 'пожарный', 'бортовой')",1
"('пожарный', 'бортовой', 'платформа')",1
"('бортовой', 'платформа', 'специальный')",1
"('платформа', 'специальный', 'перевозка')",1
"('сменный', 'кузов', 'фургон')",1
"('кузов', 'фургон', 'рефрижератор')",1
"('фургон', 'рефрижератор', 'погрузчик')",1
"('рефрижератор', 'погрузчик', 'одноковшовый')",1
"('одноковшовый', 'фронтальный', 'колесный')",1
"('фронтальный', 'колесный', 'сортиментовозный')",1
"('колесный', 'сортиментовозный', 'прицеп')",1
"('сортиментовозный', 'прицеп', 'бортовой')",1
"('прицеп', 'бортовой', 'автомобиль')",1
"('бортовой', 'автомобиль', 'кму')",1
"('автомобиль', 'кму', 'специальный')",1
"('кму', 'специальный', 'передвижной')",1
"('насосный', 'установка', 'специализированный')",1
"('установка', 'специализированный', 'полуприцеп')",1
"('специализированный', 'полуприцеп', 'самосвал')",1
"('полуприцеп', 'самосвал', 'стреловой')",1
"('самосвал', 'стреловой', 'кран')",1
"('стреловой', 'кран', 'погрузчик')",1
"('кран', 'погрузчик', 'колесный')",1
"('погрузчик', 'колесный', 'автоцистерна')",1
"('колесный', 'автоцистерна', 'акна')",1
"('автоцистерна', 'акна', 'мини')",1
"('акна', 'мини', 'погрузчик')",1
"('бортовый', 'поворот', 'пожарный')",1
"('поворот', 'пожарный', 'автомобиль')",1
"('пожарный', 'автомобиль', 'комбинированный')",1
"('автомобиль', 'комбинированный', 'тушение')",1
"('комбинированный', 'тушение', 'бульдозер')",1
"('тушение', 'бульдозер', 'гусеничный')",1
"('бульдозер', 'гусеничный', 'специализированный')",1
"('гусеничный', 'специализированный', 'перевозка')",1
"('зерно', 'комбикорм', 'самосвал')",1
"('комбикорм', 'самосвал', 'специализированный')",1
"('самосвал', 'специализированный', 'цистерна')",1
"('специализированный', 'цистерна', 'мастерская')",1
"('цистерна', 'мастерская', 'вилочный')",1
"('мастерская', 'вилочный', 'погрузчик')",1
"('погрузчик', 'специализированный', 'автомобиль')",1
"('специализированный', 'автомобиль', 'металловоз')",1
"('автомобиль', 'металловоз', 'гм')",1
"('металловоз', 'гм', 'автомобиль')",1
"('гм', 'автомобиль', 'фургон')",1
"('грузоподъемный', 'борт', 'погрузчик')",1
"('борт', 'погрузчик', 'вилочный')",1
"('погрузчик', 'вилочный', 'грузовой')",1
"('вилочный', 'грузовой', 'промтоварный')",1
"('грузовой', 'промтоварный', 'прицеп')",1
"('промтоварный', 'прицеп', 'тракторный')",1
"('тракторный', 'специальный', 'самосвал')",1
"('специальный', 'самосвал', 'кму')",1
"('кму', 'сортиментовоз', 'гм')",1
"('сортиментовоз', 'гм', 'специальный')",1
"('гм', 'специальный', 'многофункциональный')",1
"('специальный', 'многофункциональный', 'комбинированный')",1
"('многофункциональный', 'комбинированный', 'дорожный')",1
"('дорожный', 'машина', 'специализированный')",1
"('машина', 'специализированный', 'автомобиль')",1
"('автомобиль', 'сортиментовоз', 'кму')",1
"('сортиментовоз', 'кму', 'автомобиль')",1
"('кму', 'автомобиль', 'ритуальный')",1
"('автомобиль', 'ритуальный', 'машина')",1
"('ритуальный', 'машина', 'комбинировать')",1
"('комбинировать', 'специальный', 'автобетононасос')",1
"('специальный', 'автобетононасос', 'полуприцеп')",1
"('автобетононасос', 'полуприцеп', 'тракторный')",1
"('полуприцеп', 'тракторный', 'самосвальный')",1
"('тракторный', 'самосвальный', 'специальный')",1
"('самосвальный', 'специальный', 'автомобиль')",1
"('автомобиль', 'грузовой', 'перевозка')",1
"('грузовой', 'перевозка', 'оборудование')",1
"('перевозка', 'оборудование', 'дорожный')",1
"('оборудование', 'дорожный', 'мастер')",1
"('дорожный', 'мастер', 'самоходный')",1
"('мастер', 'самоходный', 'сваевдавливать')",1
"('самоходный', 'сваевдавливать', 'копер')",1
"('сваевдавливать', 'копер', 'машина')",1
"('копер', 'машина', 'дорожный')",1
"('машина', 'дорожный', 'комбинировать')",1
"('дорожный', 'комбинировать', 'экскаватор')",1
"('комбинировать', 'экскаватор', 'гусеничный')",1
"('экскаватор', 'гусеничный', 'цистерна')",1
"('гусеничный', 'цистерна', 'грузовой')",1
"('цистерна', 'грузовой', 'изотермический')",1
"('грузовой', 'изотермический', 'гидроборт')",1
"('изотермический', 'гидроборт', 'прицеп')",1
"('гидроборт', 'прицеп', 'измельчитель')",1
"('прицеп', 'измельчитель', 'древесный')",1
"('измельчитель', 'древесный', 'машина')",1
"('древесный', 'машина', 'распределять')",1
"('машина', 'распределять', 'полуприцепной')",1
"('распределять', 'полуприцепной', 'погрузчик')",1
"('полуприцепной', 'погрузчик', 'подземный')",1
"('погрузчик', 'подземный', 'работа')",1
"('подземный', 'работа', 'шахтный')",1
"('работа', 'шахтный', 'самосвал')",1
"('шахтный', 'самосвал', 'подземный')",1
"('самосвал', 'подземный', 'работа')",1
"('подземный', 'работа', 'машина')",1
"('работа', 'машина', 'уборочная')",1
"('машина', 'уборочная', 'специализированный')",1
"('уборочная', 'специализированный', 'транспортный')",1
"('опасный', 'груз', 'погрузчик')",1
"('груз', 'погрузчик', 'экскаватор')",1
"('погрузчик', 'экскаватор', 'трактор')",1
"('экскаватор', 'трактор', 'промышленный')",1
"('трактор', 'промышленный', 'специализированный')",1
"('промышленный', 'специализированный', 'полуприцеп')",1
"('специализированный', 'полуприцеп', 'сортиментовозный')",1
"('полуприцеп', 'сортиментовозный', 'специальный')",1
"('сортиментовозный', 'специальный', 'полуприцеп')",1
"('специальный', 'полуприцеп', 'самосвал')",1
"('полуприцеп', 'самосвал', 'полуприцеп')",1
"('самосвал', 'полуприцеп', 'фургон')",1
"('полуприцеп', 'фургон', 'рефрижератор')",1
"('рефрижератор', 'специальный', 'бортовой')",1
"('специальный', 'бортовой', 'кму')",1
"('кму', 'специализированный', 'лесовоз')",1
"('специализированный', 'лесовоз', 'первичный')",1
"('лесовоз', 'первичный', 'измельчитель')",1
"('первичный', 'измельчитель', 'специальный')",1
"('измельчитель', 'специальный', 'аварийный')",1
"('специальный', 'аварийный', 'служба')",1
"('аварийный', 'служба', 'вилочный')",1
"('служба', 'вилочный', 'погрузчик')",1
"('вилочный', 'погрузчик', 'погрузчик')",1
"('погрузчик', 'погрузчик', 'колесный')",1
"('погрузчик', 'колесный', 'фронтальный')",1
"('колесный', 'фронтальный', 'автомобиль')",1
"('фронтальный', 'автомобиль', 'бортовой')",1
"('автомобиль', 'бортовой', 'кран')",1
"('кран', 'манипулятор', 'каток')",1
"('манипулятор', 'каток', 'ручной')",1
"('каток', 'ручной', 'специализированный')",1
"('ручной', 'специализированный', 'автомобиль')",1
"('специализированный', 'автомобиль', 'грузовой')",1
"('грузовой', 'кму', 'прицеп')",1
"('кму', 'прицеп', 'автолавка')",1
