Тип,Элемент,Частота
Биграмма,роторный буровой,3
Биграмма,дизельный вилочный,2
Биграмма,вездеход специализированный,2
Биграмма,стреловой самоходный,4
Биграмма,самоходный телескопический,4
Биграмма,вибрационный комбинированный,2
Биграмма,автопогрузчик колесный,3
Биграмма,копер гусеничный,2
Биграмма,сельскохозяйственный работа,2
Биграмма,дом передвижной,3
Биграмма,передвижной прицеп,2
Биграмма,прицеп здание,2
Биграмма,здание мобильный,2
Биграмма,одноковшовый самоходный,3
Биграмма,самоходный машина,2
Биграмма,трактор специальный,2
Биграмма,моторный подогреватель,2
Биграмма,подметальный уборочная,2
Биграмма,кму машина,2
Биграмма,установка гусеничный,3
Биграмма,установка экскаватор,2
Биграмма,экскаватор гидравлический,4
Биграмма,гидравлический гусеничный,2
Биграмма,подъемник экскаватор,2
Биграмма,взрывчатый материал,2
Биграмма,комбайн картофелеуборочный,2
Биграмма,гусеничный гидравлический,2
Биграмма,поворот самоходный,3
Биграмма,роторный дробилка,2
Биграмма,полноповоротный гусеничный,2
Биграмма,подъемник самоходный,3
Биграмма,вилочный самоходный,2
Биграмма,подъемник телескопический,2
Биграмма,сельскохозяйственный назначение,2
Биграмма,коленчатый самоходный,2
Биграмма,дорожный тандемный,2
Биграмма,сортировочная установка,4
Биграмма,назначение полуприцеп,2
Биграмма,гидравлический полноповоротный,2
Биграмма,ремонт скважина,2
Биграмма,скважина колесный,2
Биграмма,экскаватор самоходный,2
Биграмма,погрузчик гусеничный,2
Биграмма,грохот экскаватор,2
Биграмма,платформа передвижной,2
Биграмма,передвижной механизировать,2
Биграмма,гусеничный полноповоротный,2
Биграмма,полноповоротный полуприцеп,2
Биграмма,подъемный рабочий,2
Биграмма,мобильный ножничный,2
Биграмма,стрела машина,2
Биграмма,одноковшовый полноповоротный,5
Биграмма,колесный одноковшовый,3
Биграмма,самоходный самоходный,2
Биграмма,изотермический подъемник,2
Биграмма,малогабаритный полуприцеп,2
Биграмма,асмп класс,3
Биграмма,сельскохозяйственный колесный,2
Биграмма,мобильный подьемник,2
Биграмма,подьемник рабочий,3
Биграмма,платформа коленчатый,2
Биграмма,коленчатый стрела,2
Биграмма,ножничный колесный,2
Биграмма,колесный самоходный,2
Биграмма,погрузчик дизельный,2
Биграмма,самоходный бетоносмеситель,2
Биграмма,штабелер электрический,2
Биграмма,гусеничный мини,2
Биграмма,автопогрузчик телескопический,2
Триграмма,автобус перевозка ребенок,2
Триграмма,кму лесовоз кму,2
Триграмма,самосвал кму сортиментовоз,2
Триграмма,кму сортиментовоз кму,2
Триграмма,тягач седельный кму,3
Триграмма,прицеп бортовой прицеп,3
Триграмма,прицеп контейнеровоз прицеп,2
Триграмма,экскаватор одноковшовый гусеничный,4
Триграмма,бурильный крановый машина,3
Триграмма,агрегат депарафинизация скважина,2
Триграмма,платформа буровой установка,3
Триграмма,бортовой прицеп бортовой,2
Триграмма,перевозка опасный груз,4
Триграмма,погрузчик прицеп тракторный,2
Триграмма,прицеп тракторный специальный,2
Триграмма,баровой грунторезный машина,2
Триграмма,кислотный обработка скважина,2
Триграмма,машина строительство содержание,2
Триграмма,очистка канализационный сеть,3
Триграмма,фургон общий назначение,4
Триграмма,машина коммунальный строительный,2
Триграмма,специализированный пассажирский транспортный,2
Триграмма,пассажирский транспортный средство,3
Триграмма,автомобиль самосвал кму,2
Триграмма,самосвал кму грузовой,2
Триграмма,специальный грузовой седельный,2
Триграмма,грузовой седельный тягач,2
Триграмма,грузовой тягач седельный,3
Триграмма,тягач седельный автомобиль,2
Триграмма,кму погрузчик фронтальный,2
Триграмма,седельный тягач кму,2
Триграмма,кму специализированный автомобиль,3
Триграмма,фургон кран манипулятор,2
Триграмма,кран манипулятор автомобильный,4
Триграмма,автомобиль фургон изотермический,3
Триграмма,фургон изотермический автомобиль,3
Триграмма,автомобиль грузовой кму,2
Триграмма,фургон специализированный прицеп,2
Триграмма,специализированный прицеп перевозка,3
Триграмма,перевозка сменный кузов,5
Триграмма,специальный седельный тягач,3
Триграмма,бортовой кму специализированный,2
Триграмма,специализированный перевозка пищевой,2
Триграмма,перевозка пищевой жидкость,3
Триграмма,полуприцеп общий назначение,2
Триграмма,общий назначение специальный,3
Триграмма,специальный мусоровоз задний,2
Триграмма,мусоровоз задний загрузка,3
Триграмма,колесный мини погрузчик,2
Триграмма,специализированный грузовой бортовой,2
Триграмма,грузовой бортовой оснащать,4
Триграмма,бортовой оснащать кран,4
Триграмма,оснащать кран манипулятор,9
Триграмма,кран манипулятор автомобиль,2
Триграмма,перевозка продукт питание,2
Триграмма,автопогрузчик вилочный захват,2
Триграмма,специализированный бортовой полуприцеп,2
Триграмма,бортовой полуприцеп тент,4
Триграмма,полуприцеп тент специальный,2
Триграмма,специальный грузовой бортовой,2
Триграмма,колесный экскаватор погрузчик,2
Триграмма,горизонтально направлять бурение,3
Триграмма,направлять бурение специальный,2
Триграмма,бурение специальный машина,2
Триграмма,машина строительный бурильный,2
Триграмма,агрегат подъемный ремонт,3
Триграмма,подъемный ремонт бурение,2
Триграмма,ремонт бурение скважина,2
Триграмма,специальный агрегат депарафинизация,2
Триграмма,каток вибрационный двухосный,2
Триграмма,установка горизонтально направлять,2
Триграмма,трактор колесный сельскохозяйственный,4
Триграмма,специализированный перевозка временный,2
Триграмма,перевозка временный хранение,3
Триграмма,временный хранение взрывчатый,3
Триграмма,хранение взрывчатый вещество,3
Триграмма,взрывчатый вещество изделие,2
Триграмма,специальный мобильный медицинский,2
Триграмма,буровой самоходный установка,2
Триграмма,общий назначение специализированный,2
Триграмма,специализированный перевозка животное,2
Триграмма,установка мобильный дробильный,2
Триграмма,строительный машина специальный,2
Триграмма,стабилизация регенерация дорожный,2
Триграмма,регенерация дорожный полотно,2
Триграмма,самоходный гусеничный ход,3
Триграмма,гусеничный ход специальный,2
Триграмма,грузовой фургон рефрижератор,2
Триграмма,манипулятор автомобильный бортовой,2
Триграмма,кран манипулятор специализированный,2
Триграмма,специализированный самосвал кму,2
Триграмма,каток дорожный самоходный,3
Триграмма,бетоносмесительный машина функция,2
Триграмма,машина функция самозагрузка,2
Триграмма,специализированный перевозка сжиженный,2
Триграмма,перевозка сжиженный углеводородный,2
Триграмма,сжиженный углеводородный газ,3
Триграмма,автомобиль ломовоз кму,3
Триграмма,специализированный перевозка нефтепродукт,2
Триграмма,погрузчик одноковшовый фронтальный,2
Триграмма,автомобиль тягач лесовозный,4
Триграмма,тягач лесовозный гм,3
Триграмма,вакуумный специальный автомобиль,3
Триграмма,специальный автомобиль тягач,2
Триграмма,специальный обслуживание нефтяной,2
Триграмма,обслуживание нефтяной газовый,2
Триграмма,нефтяной газовый скважина,2
Триграмма,установка разведочный бурение,4
Триграмма,вибрационный автомобиль бортовой,2
Триграмма,автомобиль бортовой шторный,2
Триграмма,бортовой шторный механизм,2
Триграмма,погрузчик одноковшовый колесный,2
Триграмма,одноковшовый колесный автомобиль,2
Триграмма,фронтальный вилочный погрузчик,2
Триграмма,фургон изотермический грузоподъемный,2
Триграмма,изотермический грузоподъемный борт,2
Триграмма,специальный машина комбинировать,2
Триграмма,машина комбинировать специальный,2
Триграмма,установка горизонтальный направлять,2
Триграмма,горизонтальный направлять бурение,2
Триграмма,специализированный фургон перевозка,2
Триграмма,фургон перевозка пищевой,2
Триграмма,перевозка пищевой продукт,2
Триграмма,кран манипулятор погрузчик,2
Триграмма,погрузчик фронтальный телескопический,2
Триграмма,кран манипулятор специальный,5
Триграмма,тягач лесовозный кму,2
Триграмма,ломовоз кму прицеп,3
Триграмма,установка промысловый паровой,2
Триграмма,промысловый паровой передвижной,2
Триграмма,автоцистерна специальный машина,2
Триграмма,автомобиль фургон рефрижератор,3
Триграмма,передвижной парогенераторный установка,3
Триграмма,специализированный перевозка крупногабаритный,3
Триграмма,перевозка крупногабаритный тяжеловесный,2
Триграмма,крупногабаритный тяжеловесный груз,2
Триграмма,тяжеловесный груз специализированный,2
Триграмма,специализированный автоцистерна перевозка,2
Триграмма,автомобиль металловоз кму,2
Триграмма,фронтальный погрузчик одноковшовый,2
Триграмма,фронтальный специализированный перевозка,2
Триграмма,специальный коммунальный хозяйство,2
Триграмма,специальный передвижной парогенераторный,2
Триграмма,погрузчик фронтальный одноковшовый,4
Триграмма,пищевой жидкость подъемник,2
Триграмма,прицеп тракторный сельскохозяйственный,2
Триграмма,бортовой кран манипулятор,3
Триграмма,агрегат сварочный самоходный,2
Триграмма,грузовой бортовой тентованый,2
Триграмма,фургон рефрижератор специальный,2
Триграмма,специальный перевозка сменный,3
Триграмма,специальный передвижной дизельный,2
Триграмма,передвижной дизельный насосный,2
Триграмма,дизельный насосный установка,2
Триграмма,мини погрузчик бортовый,3
Триграмма,погрузчик бортовый поворот,5
Триграмма,специализированный перевозка зерно,3
Триграмма,перевозка зерно комбикорм,3
Триграмма,вилочный погрузчик специализированный,2
Триграмма,комбинированный дорожный машина,3
Триграмма,специализированный автомобиль сортиментовоз,2
Триграмма,специальный автомобиль грузовой,2
Триграмма,специализированный транспортный средство,5
Триграмма,транспортный средство перевозка,5
Триграмма,средство перевозка опасный,2
Триграмма,автомобиль медицинский служба,2
Триграмма,экскаватор одноковшовый колесный,2
Триграмма,колесный автомобиль самосвал,2
Триграмма,машина очистка канализационный,2
Триграмма,сельскохозяйственный автомобиль фургон,2
Триграмма,фургон рефрижератор грузоподъемный,3
Триграмма,специальный агрегат цементировочный,2
Триграмма,прицеп роспуск лесовозный,2
Триграмма,специальный подъемник автомобильный,2
Триграмма,гусеничный трелевочный специальный,2
Триграмма,специальный оснащать подъемник,2
Триграмма,оснащать подъемник рабочий,2
Триграмма,подъемник рабочий платформа,9
Триграмма,машина бурильный шнековый,2
Триграмма,бурильный шнековый самоходный,2
Триграмма,автомобиль кран манипулятор,2
Триграмма,погрузчик колесный ход,6
Триграмма,специальный крюковой погрузчик,2
Триграмма,специальный установка смесительный,2
Триграмма,установка смесительный гидратация,2
Триграмма,смесительный гидратация смесь,2
Триграмма,специальный транспортный средство,2
Триграмма,специальный машина вакуумный,3
Триграмма,бульдозерный оборудование погрузчик,2
Триграмма,автомобиль фургон специализированный,2
Триграмма,перевозка хлебобулочный изделие,2
Триграмма,комбайн кормоуборочный самоходный,2
Триграмма,автомобиль фургон специальный,2
Триграмма,строительный фронтальный одноковшовый,2
Триграмма,фронтальный одноковшовый колесный,2
Триграмма,колесный погрузчик специальный,2
Триграмма,специальный передвижной компрессорный,2
Триграмма,передвижной компрессорный станция,2
Триграмма,специализированный прицеп роспуск,3
Триграмма,специализированный перевозка автомобиль,2
Триграмма,перевозка автомобиль автомобиль,2
Триграмма,специальный мастерский передвижной,2
Триграмма,мастерский передвижной кму,2
Триграмма,подметальный уборочный машина,3
Триграмма,средство перевозка нефтепродукт,2
Триграмма,рефрижератор грузоподъемный борт,3
Триграмма,мобильный подъемник рабочий,3
Триграмма,вакуумный подметальный уборочный,2
Триграмма,агрегат цементировочный специальный,2
Триграмма,полуприцеп перевозка скот,2
Триграмма,машина дорожный разметочный,2
Триграмма,специальный мобильный офис,2
Триграмма,снегоболотоход колесный малогабаритный,2
Триграмма,самоходный колесный погрузчик,2
Триграмма,подъемник специальный многофункциональный,2
Триграмма,роторный буровой установка,2
Триграмма,кран стреловой самоходный,4
Триграмма,бортовой платформа тент,2
Триграмма,платформа тент специальный,2
Триграмма,специальный автобус перевозка,2
Триграмма,вагон дом передвижной,3
Триграмма,дом передвижной прицеп,2
Триграмма,передвижной прицеп здание,2
Триграмма,прицеп здание мобильный,2
Триграмма,фронтальный одноковшовый самоходный,3
Триграмма,машина вакуумный подметальный,2
Триграмма,установка гусеничный ход,3
Триграмма,экскаватор гидравлический гусеничный,2
Триграмма,гидравлический гусеничный ход,2
Триграмма,стреловой самоходный гусеничный,2
Триграмма,рабочий платформа специальный,4
Триграмма,полноповоротный гусеничный экскаватор,2
Триграмма,каток дорожный тандемный,2
Триграмма,общий назначение полуприцеп,2
Триграмма,бортовый поворот самоходный,2
Триграмма,самоходный установка горизонтальный,2
Триграмма,ремонт скважина колесный,2
Триграмма,самоходный телескопический погрузчик,2
Триграмма,рабочий платформа передвижной,2
Триграмма,платформа передвижной механизировать,2
Триграмма,подъемный рабочий платформа,2
Триграмма,экскаватор погрузчик колесный,3
Триграмма,экскаватор одноковшовый полноповоротный,2
Триграмма,экскаватор колесный одноковшовый,2
Триграмма,колесный одноковшовый полноповоротный,2
Триграмма,фургон изотермический подъемник,2
Триграмма,фронтальный погрузчик телескопический,2
Триграмма,погрузчик телескопический стрела,2
Триграмма,мобильный сортировочная установка,2
Триграмма,специальный асмп класс,3
Триграмма,трактор сельскохозяйственный колесный,2
Триграмма,мобильный подьемник рабочий,2
Триграмма,подьемник рабочий платформа,3
Триграмма,рабочий платформа коленчатый,2
Триграмма,платформа коленчатый стрела,2
Триграмма,специализированный прицеп изотермический,2
